word,form,comparison_degree
dabar,ties. nuos.,nelyg. l.
dabartęs,ties. nuos.,nelyg. l.
abejaip,ties. nuos.,nelyg. l.
abejur,ties. nuos.,nelyg. l.
absoliučiau,ties. nuos.,aukšt. l.
nakčia,ties. nuos.,nelyg. l.
paamžiui,ties. nuos.,nelyg. l.
abstrakčiau,ties. nuos.,aukšt. l.
kadaise,ties. nuos.,nelyg. l.
namie,ties. nuos.,nelyg. l.
ikšiol,ties. nuos.,nelyg. l.
ikšiolei,ties. nuos.,nelyg. l.
iktol,ties. nuos.,nelyg. l.
iktolei,ties. nuos.,nelyg. l.
ikvaliai,ties. nuos.,nelyg. l.
ilgainiui,ties. nuos.,nelyg. l.
chemiškai,ties. nuos.,nelyg. l.
kaipmat,ties. nuos.,nelyg. l.
dar,ties. nuos.,nelyg. l.
naujaip,ties. nuos.,nelyg. l.
balažin,ties. nuos.,nelyg. l.
kaktomuša,ties. nuos.,nelyg. l.
galop,ties. nuos.,nelyg. l.
galutinai,ties. nuos.,nelyg. l.
juoba,ties. nuos.,nelyg. l.
galvotrūkčiais,ties. nuos.,nelyg. l.
gana,ties. nuos.,nelyg. l.
gangreit,ties. nuos.,nelyg. l.
daug,ties. nuos.,nelyg. l.
daugiau,ties. nuos.,nelyg. l.
daugiausia,ties. nuos.,nelyg. l.
daugel,ties. nuos.,nelyg. l.
vakar,ties. nuos.,nelyg. l.
inkognito,ties. nuos.,nelyg. l.
vakariau,ties. nuos.,aukšt. l.
vakariausia,ties. nuos.,aukšč. l.
vakarnakt,ties. nuos.,nelyg. l.
vakarop,ties. nuos.,nelyg. l.
vakarryt,ties. nuos.,nelyg. l.
kam,ties. nuos.,nelyg. l.
čion,ties. nuos.,nelyg. l.
čionai,ties. nuos.,nelyg. l.
žemyn,ties. nuos.,nelyg. l.
irgi,ties. nuos.,nelyg. l.
kana,ties. nuos.,nelyg. l.
karčiau,ties. nuos.,aukšt. l.
maždaug,ties. nuos.,nelyg. l.
bemat,ties. nuos.,nelyg. l.
bemaž,ties. nuos.,nelyg. l.
anaip,ties. nuos.,nelyg. l.
anaiptol,ties. nuos.,nelyg. l.
anądien,ties. nuos.,nelyg. l.
anąkart,ties. nuos.,nelyg. l.
anąmet,ties. nuos.,nelyg. l.
anąsyk,ties. nuos.,nelyg. l.
andai,ties. nuos.,nelyg. l.
bepigu,ties. nuos.,nelyg. l.
dešimtkart,ties. nuos.,nelyg. l.
anksčiau,ties. nuos.,aukšt. l.
anksti,ties. nuos.,nelyg. l.
anksčiausiai,ties. nuos.,nelyg. l.
kartkartęmis,ties. nuos.,nelyg. l.
devyniskart,ties. nuos.,nelyg. l.
žiemiau,ties. nuos.,nelyg. l.
kasdien,ties. nuos.,nelyg. l.
antraip,ties. nuos.,nelyg. l.
antrąsyk,ties. nuos.,nelyg. l.
antrąkart,ties. nuos.,nelyg. l.
antrur,ties. nuos.,nelyg. l.
kasmet,ties. nuos.,nelyg. l.
kasryt,ties. nuos.,nelyg. l.
anuokart,ties. nuos.,nelyg. l.
anuosyk,ties. nuos.,nelyg. l.
anuomet,ties. nuos.,nelyg. l.
septyniese,ties. nuos.,nelyg. l.
septyniskart,ties. nuos.,nelyg. l.
bęgčia,ties. nuos.,nelyg. l.
bęgte,ties. nuos.,nelyg. l.
gilyn,ties. nuos.,nelyg. l.
paeiliui,ties. nuos.,nelyg. l.
kažkada,ties. nuos.,nelyg. l.
kažkiek,ties. nuos.,nelyg. l.
kažkodęl,ties. nuos.,nelyg. l.
vasarop,ties. nuos.,nelyg. l.
retkarčiais,ties. nuos.,nelyg. l.
lygiagrečiau,ties. nuos.,aukšt. l.
ręplomis,ties. nuos.,nelyg. l.
keturiskart,ties. nuos.,nelyg. l.
ketveria,ties. nuos.,nelyg. l.
velniop,ties. nuos.,nelyg. l.
godžiau,ties. nuos.,aukšt. l.
brinkt,ties. nuos.,nelyg. l.
pagrindžiau,ties. nuos.,nelyg. l.
kiek,ties. nuos.,nelyg. l.
kiekybiškai,ties. nuos.,nelyg. l.
kiekkart,ties. nuos.,nelyg. l.
pagūžomis,ties. nuos.,nelyg. l.
bugščiau,ties. nuos.,aukšt. l.
greit,ties. nuos.,nelyg. l.
skaisčiau,ties. nuos.,aukšt. l.
vogčia,ties. nuos.,nelyg. l.
vogčiom,ties. nuos.,nelyg. l.
vogčiomis,ties. nuos.,nelyg. l.
skubomis,ties. nuos.,nelyg. l.
slapčia,ties. nuos.,nelyg. l.
slapčiomis,ties. nuos.,nelyg. l.
slapčiom,ties. nuos.,nelyg. l.
