word,initial_form,case,number,gender
dešimt,dešimt,V.,vns.,mot. g.
dešimtis,dešimt,V.,vns.,mot. g.
dešimčių,dešimt,K.,dgs.,mot. g.
dešimties,dešimt,K.,vns.,mot. g.
dešimtys,dešimt,V.,dgs.,mot. g.
dešimtims,dešimt,N.,dgs.,mot. g.
dešimčiai,dešimt,N.,vns.,mot. g.
dešimtį,dešimt,G.,vns.,mot. g.
dešimčia,dešimt,Įn.,vns.,mot. g.
dešimtimi,dešimt,Įn.,vns.,mot. g.
dešimtimis,dešimt,Įn.,dgs.,mot. g.
dešimtyje,dešimt,Vt.,vns.,mot. g.
dešimtyse,dešimt,Vt.,dgs.,mot. g.
dešimtas,dešimtas,V.,vns.,vyr. g.
dešimti,dešimtas,V.,dgs.,vyr. g.
dešimta,dešimtas,V.,vns.,mot. g.
dešimtų,dešimtas,K.,dgs.,vyr. g.
dešimtos,dešimtas,V.,dgs.,mot. g.
dešimtam,dešimtas,N.,vns.,vyr. g.
dešimtiems,dešimtas,N.,dgs.,vyr. g.
dešimtai,dešimtas,N.,vns.,mot. g.
dešimtoms,dešimtas,N.,dgs.,mot. g.
dešimtą,dešimtas,G.,vns.,vyr. g.
dešimtus,dešimtas,G.,dgs.,vyr. g.
dešimtais,dešimtas,Įn.,dgs.,vyr. g.
dešimtu,dešimtas,Įn.,vns.,vyr. g.
dešimtame,dešimtas,Vt.,vns.,vyr. g.
dešimtomis,dešimtas,Įn.,dgs.,mot. g.
dešimtuose,dešimtas,Vt.,dgs.,vyr. g.
dešimtoje,dešimtas,Vt.,vns.,mot. g.
dešimtose,dešimtas,Vt.,dgs.,mot. g.
dešimto,dešimtas,K.,vns.,vyr. g.
devinti,devintas,V.,dgs.,vyr. g.
devintos,devintas,V.,dgs.,mot. g.
devinto,devintas,K.,vns.,vyr. g.
devintas,devintas,V.,vns.,vyr. g.
devinta,devintas,V.,vns.,mot. g.
devintų,devintas,K.,dgs.,vyr. g.
devintam,devintas,N.,vns.,vyr. g.
devintiems,devintas,N.,dgs.,vyr. g.
devintą,devintas,G.,vns.,vyr. g.
devintai,devintas,N.,vns.,mot. g.
devintoms,devintas,N.,dgs.,mot. g.
devintus,devintas,G.,dgs.,vyr. g.
devintu,devintas,Įn.,vns.,vyr. g.
devintomis,devintas,Įn.,dgs.,mot. g.
devintais,devintas,Įn.,dgs.,vyr. g.
devintuose,devintas,Vt.,dgs.,vyr. g.
devintame,devintas,Vt.,vns.,vyr. g.
devintoje,devintas,Vt.,vns.,mot. g.
devintose,devintas,Vt.,dgs.,mot. g.
devyneri,devyneri,V.,dgs.,vyr. g.
devynerios,devyneri,V.,dgs.,mot. g.
devynerių,devyneri,K.,dgs.,vyr. g.
devyneriems,devyneri,N.,dgs.,vyr. g.
devynerius,devyneri,G.,dgs.,vyr. g.
devynerioms,devyneri,N.,dgs.,mot. g.
devynerias,devyneri,G.,dgs.,mot. g.
devyneriomis,devyneri,Įn.,dgs.,mot. g.
devyneriais,devyneri,Įn.,dgs.,vyr. g.
devyneriose,devyneri,Vt.,dgs.,mot. g.
devyneriuose,devyneri,Vt.,dgs.,vyr. g.
devyneto,devynetas,K.,vns.,vyr. g.
devynetui,devynetas,N.,vns.,vyr. g.
devynetu,devynetas,Įn.,vns.,vyr. g.
devynetą,devynetas,G.,vns.,vyr. g.
devynete,devynetas,Vt.,vns.,vyr. g.
devyni,devyni,V.,dgs.,vyr. g.
devynios,devyni,V.,dgs.,mot. g.
devynių,devyni,K.,dgs.,vyr. g.
devyniems,devyni,N.,dgs.,vyr. g.
devynioms,devyni,N.,dgs.,mot. g.
devynias,devyni,G.,dgs.,mot. g.
devynis,devyni,G.,dgs.,vyr. g.
devyniais,devyni,Įn.,dgs.,vyr. g.
devyniose,devyni,Vt.,dgs.,mot. g.
devyniomis,devyni,Įn.,dgs.,mot. g.
devyniuose,devyni,Vt.,dgs.,vyr. g.
devyniasdešimtis,devyniasdešimt,V.,vns.,mot. g.
devyniasdešimt,devyniasdešimt,V.,vns.,mot. g.
devyniasdešimtys,devyniasdešimt,V.,dgs.,mot. g.
devyniasdešimties,devyniasdešimt,K.,vns.,mot. g.
devyniasdešimčių,devyniasdešimt,K.,dgs.,mot. g.
devyniasdešimtį,devyniasdešimt,G.,vns.,mot. g.
devyniasdešimčiai,devyniasdešimt,N.,vns.,mot. g.
devyniasdešimtims,devyniasdešimt,N.,dgs.,mot. g.
devyniasdešimčia,devyniasdešimt,Įn.,vns.,mot. g.
devyniasdešimtimi,devyniasdešimt,Įn.,vns.,mot. g.
devyniasdešimtimis,devyniasdešimt,Įn.,dgs.,mot. g.
devyniasdešimtas,devyniasdešimtas,V.,vns.,vyr. g.
devyniasdešimtyje,devyniasdešimt,Vt.,vns.,mot. g.
devyniasdešimti,devyniasdešimtas,V.,dgs.,vyr. g.
devyniasdešimtyse,devyniasdešimt,Vt.,dgs.,mot. g.
devyniasdešimta,devyniasdešimtas,V.,vns.,mot. g.
devyniasdešimtos,devyniasdešimtas,V.,dgs.,mot. g.
devyniasdešimto,devyniasdešimtas,K.,vns.,vyr. g.
devyniasdešimtam,devyniasdešimtas,N.,vns.,vyr. g.
devyniasdešimtų,devyniasdešimtas,K.,dgs.,vyr. g.
devyniasdešimtai,devyniasdešimtas,N.,vns.,mot. g.
devyniasdešimtiems,devyniasdešimtas,N.,dgs.,vyr. g.
devyniasdešimtoms,devyniasdešimtas,N.,dgs.,mot. g.
devyniasdešimtą,devyniasdešimtas,G.,vns.,vyr. g.
devyniasdešimtus,devyniasdešimtas,G.,dgs.,vyr. g.
devyniasdešimtu,devyniasdešimtas,Įn.,vns.,vyr. g.
devynetas,devynetas,V.,vns.,vyr. g.
devyniasdešimtame,devyniasdešimtas,Vt.,vns.,vyr. g.
devyniasdešimtais,devyniasdešimtas,Įn.,dgs.,vyr. g.
devyniasdešimtomis,devyniasdešimtas,Įn.,dgs.,mot. g.
devyniasdešimtoje,devyniasdešimtas,Vt.,vns.,mot. g.
devyniasdešimtose,devyniasdešimtas,Vt.,dgs.,mot. g.
devyniasdešimtuose,devyniasdešimtas,Vt.,dgs.,vyr. g.
devyniolika,devyniolika,V.,vns.,mot. g.
devyniolikos,devyniolika,N.,vns.,mot. g.
devyniolikai,devyniolika,K.,vns.,mot. g.
devyniolikoje,devyniolika,Vt.,vns.,mot. g.
devynioliktas,devynioliktas,V.,vns.,vyr. g.
devyniolikta,devynioliktas,V.,vns.,mot. g.
devyniolikti,devynioliktas,V.,dgs.,vyr. g.
devynioliktos,devynioliktas,V.,dgs.,mot. g.
devyniolikto,devynioliktas,K.,vns.,vyr. g.
devynioliktų,devynioliktas,K.,dgs.,vyr. g.
devynioliktam,devynioliktas,N.,vns.,vyr. g.
devynioliktiems,devynioliktas,N.,dgs.,vyr. g.
devynioliktai,devynioliktas,N.,vns.,mot. g.
devynioliktoms,devynioliktas,N.,dgs.,mot. g.
devynioliktą,devynioliktas,G.,vns.,vyr. g.
devynioliktu,devynioliktas,Įn.,vns.,vyr. g.
devynioliktus,devynioliktas,G.,dgs.,vyr. g.
devynioliktais,devynioliktas,Įn.,dgs.,vyr. g.
devynioliktame,devynioliktas,Vt.,vns.,vyr. g.
devynioliktomis,devynioliktas,Įn.,dgs.,mot. g.
devynioliktoje,devynioliktas,Vt.,vns.,mot. g.
devynioliktuose,devynioliktas,Vt.,dgs.,vyr. g.
devynioliktose,devynioliktas,Vt.,dgs.,mot. g.
antras,antras,V.,vns.,vyr. g.
antri,antras,V.,dgs.,vyr. g.
antros,antras,V.,dgs.,mot. g.
antra,antras,V.,vns.,mot. g.
antro,antras,K.,vns.,vyr. g.
antram,antras,N.,vns.,vyr. g.
antrų,antras,K.,dgs.,vyr. g.
antriems,antras,N.,dgs.,vyr. g.
antrai,antras,N.,vns.,mot. g.
antroms,antras,N.,dgs.,mot. g.
antrą,antras,G.,vns.,vyr. g.
antrais,antras,Įn.,dgs.,vyr. g.
antru,antras,Įn.,vns.,vyr. g.
antrus,antras,G.,dgs.,vyr. g.
antromis,antras,Įn.,dgs.,mot. g.
antruose,antras,Vt.,dgs.,vyr. g.
antrame,antras,Vt.,vns.,vyr. g.
antroje,antras,Vt.,vns.,mot. g.
antrose,antras,Vt.,dgs.,mot. g.
septintas,septintas,V.,vns.,vyr. g.
septinti,septintas,V.,dgs.,vyr. g.
septinta,septintas,V.,vns.,mot. g.
septinto,septintas,K.,vns.,vyr. g.
septintos,septintas,V.,dgs.,mot. g.
septintų,septintas,K.,dgs.,vyr. g.
septintam,septintas,N.,vns.,vyr. g.
septintiems,septintas,N.,dgs.,vyr. g.
septintai,septintas,N.,vns.,mot. g.
septintoms,septintas,N.,dgs.,mot. g.
septintą,septintas,G.,vns.,vyr. g.
septintus,septintas,G.,dgs.,vyr. g.
septintu,septintas,Įn.,vns.,vyr. g.
septintais,septintas,Įn.,dgs.,vyr. g.
septintame,septintas,Vt.,vns.,vyr. g.
septintomis,septintas,Įn.,dgs.,mot. g.
septintuose,septintas,Vt.,dgs.,vyr. g.
septintoje,septintas,Vt.,vns.,mot. g.
septintose,septintas,Vt.,dgs.,mot. g.
septynerios,septyneri,V.,dgs.,mot. g.
septynerių,septyneri,K.,dgs.,vyr. g.
septyneri,septyneri,V.,dgs.,vyr. g.
septyneriems,septyneri,N.,dgs.,vyr. g.
septynerius,septyneri,G.,dgs.,vyr. g.
septynerias,septyneri,G.,dgs.,mot. g.
septynerioms,septyneri,N.,dgs.,mot. g.
septyneriomis,septyneri,Įn.,dgs.,mot. g.
septyneriais,septyneri,Įn.,dgs.,vyr. g.
septyneriuose,septyneri,Vt.,dgs.,vyr. g.
septyneriose,septyneri,Vt.,dgs.,mot. g.
septynetas,septynetas,V.,vns.,vyr. g.
septynetui,septynetas,N.,vns.,vyr. g.
septynetą,septynetas,G.,vns.,vyr. g.
septyneto,septynetas,K.,vns.,vyr. g.
septynetu,septynetas,Įn.,vns.,vyr. g.
septynete,septynetas,Vt.,vns.,vyr. g.
septyni,septyni,V.,dgs.,vyr. g.
septynios,septyni,V.,dgs.,mot. g.
septyniems,septyni,N.,dgs.,vyr. g.
septynių,septyni,K.,dgs.,vyr. g.
septynioms,septyni,N.,dgs.,mot. g.
septynis,septyni,G.,dgs.,vyr. g.
septynias,septyni,G.,dgs.,mot. g.
septyniais,septyni,Įn.,dgs.,vyr. g.
septyniuose,septyni,Vt.,dgs.,vyr. g.
septyniose,septyni,Vt.,dgs.,mot. g.
septyniasdešimt,septyniasdešimt,V.,vns.,mot. g.
septyniasdešimtis,septyniasdešimt,V.,vns.,mot. g.
septyniasdešimtys,septyniasdešimt,V.,dgs.,mot. g.
septyniasdešimties,septyniasdešimt,K.,vns.,mot. g.
septyniasdešimčių,septyniasdešimt,K.,dgs.,mot. g.
septyniasdešimtims,septyniasdešimt,N.,dgs.,mot. g.
septyniasdešimčiai,septyniasdešimt,N.,vns.,mot. g.
septyniasdešimtį,septyniasdešimt,G.,vns.,mot. g.
septyniasdešimtimi,septyniasdešimt,Įn.,vns.,mot. g.
septyniasdešimčia,septyniasdešimt,Įn.,vns.,mot. g.
septyniasdešimtimis,septyniasdešimt,Įn.,dgs.,mot. g.
septyniasdešimtyje,septyniasdešimt,Vt.,vns.,mot. g.
septyniasdešimtyse,septyniasdešimt,Vt.,dgs.,mot. g.
septyniasdešimta,septyniasdešimtas,V.,vns.,mot. g.
septyniasdešimtas,septyniasdešimtas,V.,vns.,vyr. g.
septyniasdešimti,septyniasdešimtas,V.,dgs.,vyr. g.
septyniasdešimtos,septyniasdešimtas,V.,dgs.,mot. g.
septyniasdešimto,septyniasdešimtas,K.,vns.,vyr. g.
septyniasdešimtų,septyniasdešimtas,K.,dgs.,vyr. g.
septyniasdešimtam,septyniasdešimtas,N.,vns.,vyr. g.
septyniasdešimtai,septyniasdešimtas,N.,vns.,mot. g.
septyniasdešimtiems,septyniasdešimtas,N.,dgs.,vyr. g.
septyniasdešimtą,septyniasdešimtas,G.,vns.,vyr. g.
septyniasdešimtus,septyniasdešimtas,G.,dgs.,vyr. g.
septyniasdešimtu,septyniasdešimtas,Įn.,vns.,vyr. g.
septyniasdešimtais,septyniasdešimtas,Įn.,dgs.,vyr. g.
septyniasdešimtomis,septyniasdešimtas,Įn.,dgs.,mot. g.
septyniomis,septyni,Įn.,dgs.,mot. g.
septyniasdešimtoms,septyniasdešimtas,N.,dgs.,mot. g.
septyniasdešimtame,septyniasdešimtas,Vt.,vns.,vyr. g.
septyniasdešimtuose,septyniasdešimtas,Vt.,dgs.,vyr. g.
septyniasdešimtoje,septyniasdešimtas,Vt.,vns.,mot. g.
septyniasdešimtose,septyniasdešimtas,Vt.,dgs.,mot. g.
septyniolika,septyniolika,V.,vns.,mot. g.
septyniolikos,septyniolika,N.,vns.,mot. g.
septyniolikai,septyniolika,K.,vns.,mot. g.
septyniolikoje,septyniolika,Vt.,vns.,mot. g.
septynioliktas,septynioliktas,V.,vns.,vyr. g.
septyniolikti,septynioliktas,V.,dgs.,vyr. g.
septyniolikta,septynioliktas,V.,vns.,mot. g.
septynioliktos,septynioliktas,V.,dgs.,mot. g.
septyniolikto,septynioliktas,K.,vns.,vyr. g.
septynioliktiems,septynioliktas,N.,dgs.,vyr. g.
septynioliktam,septynioliktas,N.,vns.,vyr. g.
septynioliktų,septynioliktas,K.,dgs.,vyr. g.
septynioliktai,septynioliktas,N.,vns.,mot. g.
septynioliktoms,septynioliktas,N.,dgs.,mot. g.
septynioliktą,septynioliktas,G.,vns.,vyr. g.
septynioliktus,septynioliktas,G.,dgs.,vyr. g.
septynioliktu,septynioliktas,Įn.,vns.,vyr. g.
septynioliktais,septynioliktas,Įn.,dgs.,vyr. g.
septynioliktomis,septynioliktas,Įn.,dgs.,mot. g.
septynioliktame,septynioliktas,Vt.,vns.,vyr. g.
septynioliktuose,septynioliktas,Vt.,dgs.,vyr. g.
septynioliktoje,septynioliktas,Vt.,vns.,mot. g.
septynioliktose,septynioliktas,Vt.,dgs.,mot. g.
keturi,keturi,V.,dgs.,vyr. g.
keturios,keturi,V.,dgs.,mot. g.
keturių,keturi,K.,dgs.,vyr. g.
keturiems,keturi,N.,dgs.,vyr. g.
keturioms,keturi,N.,dgs.,mot. g.
keturis,keturi,G.,dgs.,vyr. g.
keturias,keturi,G.,dgs.,mot. g.
keturiais,keturi,Įn.,dgs.,vyr. g.
keturiomis,keturi,Įn.,dgs.,mot. g.
keturiuose,keturi,Vt.,dgs.,vyr. g.
keturiose,keturi,Vt.,dgs.,mot. g.
keturiasdešimt,keturiasdešimt,V.,vns.,mot. g.
keturiasdešimtis,keturiasdešimt,V.,vns.,mot. g.
keturiasdešimtys,keturiasdešimt,V.,dgs.,mot. g.
keturiasdešimties,keturiasdešimt,K.,vns.,mot. g.
keturiasdešimčių,keturiasdešimt,K.,dgs.,mot. g.
keturiasdešimčiai,keturiasdešimt,N.,vns.,mot. g.
keturiasdešimtims,keturiasdešimt,N.,dgs.,mot. g.
keturiasdešimtimi,keturiasdešimt,Įn.,vns.,mot. g.
keturiasdešimtį,keturiasdešimt,G.,vns.,mot. g.
keturiasdešimčia,keturiasdešimt,Įn.,vns.,mot. g.
keturiasdešimtimis,keturiasdešimt,Įn.,dgs.,mot. g.
keturiasdešimtyje,keturiasdešimt,Vt.,vns.,mot. g.
keturiasdešimtyse,keturiasdešimt,Vt.,dgs.,mot. g.
keturiasdešimtas,keturiasdešimtas,V.,vns.,vyr. g.
keturiasdešimta,keturiasdešimtas,V.,vns.,mot. g.
keturiasdešimti,keturiasdešimtas,V.,dgs.,vyr. g.
keturiasdešimtos,keturiasdešimtas,V.,dgs.,mot. g.
keturiasdešimto,keturiasdešimtas,K.,vns.,vyr. g.
keturiasdešimtų,keturiasdešimtas,K.,dgs.,vyr. g.
keturiasdešimtam,keturiasdešimtas,N.,vns.,vyr. g.
keturiasdešimtiems,keturiasdešimtas,N.,dgs.,vyr. g.
keturiasdešimtai,keturiasdešimtas,N.,vns.,mot. g.
keturiasdešimtoms,keturiasdešimtas,N.,dgs.,mot. g.
keturiasdešimtą,keturiasdešimtas,G.,vns.,vyr. g.
keturiasdešimtus,keturiasdešimtas,G.,dgs.,vyr. g.
keturiasdešimtu,keturiasdešimtas,Įn.,vns.,vyr. g.
keturiasdešimtais,keturiasdešimtas,Įn.,dgs.,vyr. g.
keturiasdešimtomis,keturiasdešimtas,Įn.,dgs.,mot. g.
keturiasdešimtame,keturiasdešimtas,Vt.,vns.,vyr. g.
keturiasdešimtoje,keturiasdešimtas,Vt.,vns.,mot. g.
keturiasdešimtuose,keturiasdešimtas,Vt.,dgs.,vyr. g.
keturiasdešimtose,keturiasdešimtas,Vt.,dgs.,mot. g.
keturiolika,keturiolika,V.,vns.,mot. g.
keturiolikai,keturiolika,K.,vns.,mot. g.
keturiolikos,keturiolika,N.,vns.,mot. g.
keturiolikoje,keturiolika,Vt.,vns.,mot. g.
keturiolikti,keturioliktas,V.,dgs.,vyr. g.
keturiolikta,keturioliktas,V.,vns.,mot. g.
keturioliktas,keturioliktas,V.,vns.,vyr. g.
keturioliktos,keturioliktas,V.,dgs.,mot. g.
keturioliktų,keturioliktas,K.,dgs.,vyr. g.
keturiolikto,keturioliktas,K.,vns.,vyr. g.
keturioliktam,keturioliktas,N.,vns.,vyr. g.
keturioliktiems,keturioliktas,N.,dgs.,vyr. g.
keturioliktai,keturioliktas,N.,vns.,mot. g.
keturioliktoms,keturioliktas,N.,dgs.,mot. g.
keturioliktą,keturioliktas,G.,vns.,vyr. g.
keturioliktus,keturioliktas,G.,dgs.,vyr. g.
keturioliktu,keturioliktas,Įn.,vns.,vyr. g.
keturioliktais,keturioliktas,Įn.,dgs.,vyr. g.
keturioliktomis,keturioliktas,Įn.,dgs.,mot. g.
keturioliktuose,keturioliktas,Vt.,dgs.,vyr. g.
keturioliktoje,keturioliktas,Vt.,vns.,mot. g.
keturioliktame,keturioliktas,Vt.,vns.,vyr. g.
keturioliktose,keturioliktas,Vt.,dgs.,mot. g.
ketverios,ketveri,V.,dgs.,mot. g.
ketveri,ketveri,V.,dgs.,vyr. g.
ketverių,ketveri,K.,dgs.,vyr. g.
