word,initial_form,case,number
mano,aš,K.,vns.
mūs,aš,K.,dgs.
man,aš,N.,vns.
mums,aš,N.,dgs.
mane,aš,G.,vns.
mus,aš,G.,dgs.
manimi,aš,Įn.,vns.
manyje,aš,Vt.,vns.
manim,aš,Įn.,vns.
mumis,aš,Įn.,dgs.
many,aš,Vt.,vns.
mumyse,aš,Vt.,dgs.
abejiems,abejos,N.,dgs.
abeji,abejos,V.,dgs.
abejus,abejos,G.,dgs.
abejais,abejos,Įn.,dgs.
abejuose,abejos,Vt.,dgs.
abejetas,abejetas,V.,vns.
abejeto,abejetas,K.,vns.
abejetam,abejetas,N.,vns.
abejetu,abejetas,Įn.,vns.
abejetą,abejetas,G.,vns.
abejetame,abejetas,Vt.,vns.
abejoks,abejoks,V.,vns.
abejokia,abejoks,V.,vns.
abejokios,abejoks,V.,dgs.
abejokio,abejoks,K.,vns.
abejokie,abejoks,V.,dgs.
abejokių,abejoks,K.,dgs.
abejokiai,abejoks,N.,vns.
abejokiam,abejoks,N.,vns.
abejokioms,abejoks,N.,dgs.
abejokiems,abejoks,N.,dgs.
abejokią,abejoks,G.,vns.
abejokiu,abejoks,Įn.,vns.
abejokias,abejoks,G.,dgs.
abejokį,abejoks,G.,vns.
abejokius,abejoks,G.,dgs.
abejokiomis,abejoks,Įn.,dgs.
abejokiais,abejoks,Įn.,dgs.
abejokiame,abejoks,Vt.,vns.
abejokioje,abejoks,Vt.,vns.
abejokiose,abejoks,Vt.,dgs.
abejokiuose,abejoks,Vt.,dgs.
abidvi,abidvi,V.,dgs.
abu,abidvi,V.,dgs.
abudu,abidvi,V.,dgs.
abi,abidvi,V.,dgs.
abiejų,abidvi,K.,dgs.
abiem,abidvi,N.,dgs.
abiems,abidvi,N.,dgs.
abiejose,abidvi,Vt.,dgs.
abiejuose,abidvi,Vt.,dgs.
ji,ji,V.,vns.
jos,ji,V.,dgs.
jie,ji,V.,dgs.
jis,ji,V.,vns.
jo,ji,K.,vns.
jų,ji,K.,dgs.
jam,ji,N.,vns.
joms,ji,N.,dgs.
jai,ji,N.,vns.
jiems,ji,N.,dgs.
jį,ji,G.,vns.
ją,ji,G.,vns.
jas,ji,G.,dgs.
juos,ji,G.,dgs.
ja,ji,Įn.,vns.
juo,ji,Įn.,vns.
jais,ji,Įn.,dgs.
joje,ji,Vt.,vns.
jomis,ji,Įn.,dgs.
jame,ji,Vt.,vns.
jose,ji,Vt.,dgs.
jiedu,jiedu,V.,
juose,ji,Vt.,dgs.
jiedvi,jiedu,V.,
juodu,jiedu,V.,vns.
jomdviem,jiedu,N.,
jodviem,jiedu,N.,
jiedviem,jiedu,N.,
jiemdviem,jiedu,N.,
jųdviejų,jiedu,K.,
joks,jokia,V.,vns.
jokios,jokia,V.,dgs.
jokia,jokia,V.,vns.
jokie,jokia,V.,dgs.
jokio,jokia,K.,vns.
jokių,jokia,K.,dgs.
jokiam,jokia,N.,vns.
jokiems,jokia,N.,dgs.
jokiai,jokia,N.,vns.
jokioms,jokia,N.,dgs.
jokį,jokia,G.,vns.
jokią,jokia,G.,vns.
jokias,jokia,G.,dgs.
jokius,jokia,G.,dgs.
jokiomis,jokia,Įn.,dgs.
jokioje,jokia,Vt.,vns.
jokiais,jokia,Įn.,dgs.
jokiose,jokia,Vt.,dgs.
jokiame,jokia,Vt.,vns.
jokiuose,jokia,Vt.,dgs.
jokiu,jokia,Įn.,vns.
judvi,judvi,V.,
judviem,judvi,N.,
judviejų,judvi,K.,
judviejose,judvi,Vt.,
judviejuose,judvi,Vt.,
jūs,tu,V.,dgs.
jūsų,tu,K.,dgs.
jums,tu,N.,dgs.
jumis,tu,Įn.,dgs.
jus,tu,G.,dgs.
jumyse,tu,Vt.,dgs.
mana,mana,V.,vns.
manas,mana,V.,vns.
manos,mana,V.,dgs.
mani,mana,V.,dgs.
manų,mana,K.,dgs.
manam,mana,N.,vns.
maniems,mana,N.,dgs.
manai,mana,N.,vns.
manoms,mana,N.,dgs.
manu,mana,Įn.,vns.
manus,mana,G.,dgs.
maną,mana,G.,vns.
manais,mana,Įn.,dgs.
manomis,mana,Įn.,dgs.
manoje,mana,Vt.,vns.
maname,mana,Vt.,vns.
manose,mana,Vt.,dgs.
manuose,mana,Vt.,dgs.
manasis,mana,V.,vns.
manoji,mana,V.,vns.
manieji,mana,V.,dgs.
manosios,mana,V.,dgs.
manojo,mana,K.,vns.
manųjų,mana,K.,dgs.
manajam,mana,N.,vns.
